Serial Number,Common Name (India Checklist),Scientific Name (India Checklist),IUCN Status,WLPA Schedule,Analysed Long-term,Analysed Current,Long-term Trend (%),Long-term Trend CI (%),Current Annual Change (%),Current Annual Change CI (%),"Distribution Range Size (units of 10,000 sq. km.)","Distribution Range Size CI (units of 10,000 sq. km.)",Long Term Status,Current Status,Distribution Status,Status of Conservation Concern,Assessed Primarily Based On,Migratory Status
794,Fire-tailed Sunbird,Aethopyga ignicauda,Least Concern,Schedule-IV,,X,NA,NA,6.1331163,39.64992292,9.1414475,0.0686,Data Deficient,Uncertain,Moderate,Low,Trends & Range Size,Resident
795,Black-throated Sunbird,Aethopyga saturata,Least Concern,Schedule-IV,,X,NA,NA,7.326145396,19.84166023,11.5572002,0.0689,Data Deficient,Uncertain,Moderate,Low,Trends & Range Size,Resident
796,Mrs Gould's Sunbird,Aethopyga gouldiae,Least Concern,Schedule-IV,,X,NA,NA,-2.060013637,24.62293564,10.200506,0.0749,Data Deficient,Uncertain,Moderate,Low,Trends & Range Size,Resident
797,Green-tailed Sunbird,Aethopyga nipalensis,Least Concern,Schedule-IV,X,X,4.531209072,67.51914981,-3.550617791,9.474303833,11.9004613,0.0577,Uncertain,Uncertain,Moderate,Low,Trends & Range Size,Resident
798,Vigors's Sunbird,Aethopyga vigorsii,Least Concern,Schedule-IV,,X,NA,NA,3.541182334,16.4394335,6.7303524,0.0495,Data Deficient,Uncertain,Moderate,Low,Trends & Range Size,Resident
799,Crimson Sunbird,Aethopyga siparaja,Least Concern,Schedule-IV,X,X,33.79028108,54.98444862,-4.768788503,5.754954369,26.275844,0.0739,Uncertain,Uncertain,Large,Low,Trends & Range Size,Resident
800,Little Spiderhunter,Arachnothera longirostra,Least Concern,Schedule-IV,X,X,-74.14876482,11.38743733,-5.311928638,6.430967979,22.1702319,0.0545,Strong Decline,Uncertain,Moderate,Moderate,Trends & Range Size,Resident
801,Streaked Spiderhunter,Arachnothera magna,Least Concern,Schedule-IV,X,X,-28.93973425,66.32097464,0.048715659,17.83842231,10.4299002,0.059,Uncertain,Uncertain,Moderate,Low,Trends & Range Size,Resident
802,Alpine Accentor,Prunella collaris,Least Concern,Schedule-IV,,X,NA,NA,-0.686923724,21.49887145,10.5492901,0.0755,Data Deficient,Uncertain,Moderate,Low,Trends & Range Size,Resident
803,Altai Accentor,Prunella himalayana,Least Concern,Schedule-IV,,,NA,NA,NA,NA,2.4930553,0.0838,Data Deficient,Data Deficient,Restricted,Moderate,Trends & Range Size,Migratory-Long-Distance
804,Robin Accentor,Prunella rubeculoides,Least Concern,Schedule-IV,,X,NA,NA,-8.069682143,22.61104077,9.0342611,0.0961,Data Deficient,Uncertain,Moderate,Low,Trends & Range Size,Resident
805,Rufous-breasted Accentor,Prunella strophiata,Least Concern,Schedule-IV,X,X,-50.01190245,42.06875697,-7.671676939,11.83981015,14.4244188,0.068,Uncertain,Uncertain,Moderate,Low,Trends & Range Size,Resident
806,Black-throated Accentor,Prunella atrogularis,Least Concern,Schedule-IV,,,NA,NA,NA,NA,5.8234612,0.0827,Data Deficient,Data Deficient,Moderate,Moderate,Trends & Range Size,Migratory-Long-Distance
807,Maroon-backed Accentor,Prunella immaculata,Least Concern,Schedule-IV,,,NA,NA,NA,NA,1.733759,0.0748,Data Deficient,Data Deficient,Restricted,Moderate,Trends & Range Size,Resident
808,Forest Wagtail,Dendronanthus indicus,Least Concern,Schedule-IV,X,X,-72.56130321,12.69065379,-9.759364934,5.620321563,23.8132404,0.0607,Strong Decline,Strong Decline,Moderate,High,Trends,Migratory-Long-Distance
809,Grey Wagtail,Motacilla cinerea,Least Concern,Schedule-IV,X,X,-36.30106648,13.3801984,-3.532265036,3.175747455,115.2153571,0.0986,Stable,Uncertain,Very Large,Low,Trends & Range Size,Migratory-Local
810,Western Yellow Wagtail,Motacilla flava,Least Concern,Schedule-IV,X,X,-28.2877013,16.12466794,-0.451225185,3.741949546,126.7591155,0.1037,Stable,Uncertain,Very Large,Low,Trends & Range Size,Migratory-Long-Distance
811,Citrine Wagtail,Motacilla citreola,Least Concern,Schedule-IV,X,X,-12.86838768,39.07003131,2.163632754,8.305083834,73.9757566,0.0903,Uncertain,Uncertain,Large,Low,Trends & Range Size,Migratory-Local
