Serial Number,Common Name (India Checklist),Scientific Name (India Checklist),IUCN Status,WLPA Schedule,Analysed Long-term,Analysed Current,Long-term Trend (%),Long-term Trend CI (%),Current Annual Change (%),Current Annual Change CI (%),"Distribution Range Size (units of 10,000 sq. km.)","Distribution Range Size CI (units of 10,000 sq. km.)",Long Term Status,Current Status,Distribution Status,Status of Conservation Concern,Assessed Primarily Based On,Migratory Status
1,Fulvous Whistling Duck,Dendrocygna bicolor,Least Concern,Schedule-I,,X,NA,NA,-1.873457577,11.42140106,13.4074988,0.0711,Data Deficient,Uncertain,Moderate,Low,Trends & Range Size,Resident
2,Lesser Whistling Duck,Dendrocygna javanica,Least Concern,Schedule-IV,X,X,4.607644743,19.49676762,-3.907999145,2.727739793,149.898761,0.0987,Stable,Moderate Decline,Very Large,Low,Trends & Range Size,Resident
3,Bar-headed Goose,Anser indicus,Least Concern,Schedule-IV,X,X,-13.39993978,217.658129,-6.935406704,38.94695007,45.4472583,0.07,Uncertain,Uncertain,Large,Low,Trends & Range Size,Migratory-Local
4,Greylag Goose,Anser anser,Least Concern,Schedule-IV,X,X,-38.40276243,34.9438426,-3.091665089,8.853505483,24.5691745,0.1045,Uncertain,Uncertain,Moderate,Low,Trends & Range Size,Migratory-Long-Distance
5,Comb Duck,Sarkidiornis melanotos,Least Concern,Schedule-IV,X,X,1.291713172,31.15429634,-6.018773577,4.432596981,81.233442,0.0836,Uncertain,Moderate Decline,Large,Moderate,Trends & Range Size,Resident
6,Ruddy Shelduck,Tadorna ferruginea,Least Concern,Schedule-IV,X,X,-0.908793756,65.31597961,-2.306987498,11.36083898,73.1742151,0.0758,Uncertain,Uncertain,Large,Low,Trends & Range Size,Migratory-Local
7,Cotton Teal,Nettapus coromandelianus,Least Concern,Schedule-IV,X,X,-59.55395467,9.45142338,-8.044061151,3.158942744,100.1270602,0.1013,Strong Decline,Strong Decline,Very Large,High,Trends,Resident
8,Garganey,Spatula querquedula,Least Concern,Schedule-IV,X,X,-35.75719024,18.62401528,1.527143661,5.195318715,78.397137,0.088,Stable,Uncertain,Large,Low,Trends & Range Size,Migratory-Long-Distance
9,Northern Shoveler,Spatula clypeata,Least Concern,Schedule-IV,X,X,-27.91852757,23.25810208,0.209888173,5.818148836,92.082839,0.0807,Stable,Uncertain,Large,Low,Trends & Range Size,Migratory-Long-Distance
10,Gadwall,Mareca strepera,Least Concern,Schedule-IV,X,X,-12.3750217,38.54178502,1.192060619,8.119405109,68.3142581,0.0855,Uncertain,Uncertain,Large,Low,Trends & Range Size,Migratory-Long-Distance
11,Eurasian Wigeon,Mareca penelope,Least Concern,Schedule-IV,X,X,-57.07132709,121.5436449,-4.11316285,46.43318578,59.6853328,0.0843,Uncertain,Uncertain,Large,Low,Trends & Range Size,Migratory-Long-Distance
12,Indian Spot-billed Duck,Anas poecilorhyncha,Least Concern,Schedule-IV,X,X,24.77675579,24.33781351,-4.096019777,2.695449405,137.1281162,0.0777,Stable,Moderate Decline,Very Large,Low,Trends & Range Size,Resident
13,Mallard,Anas platyrhynchos,Least Concern,Schedule-IV,X,X,-44.57073109,42.64031532,6.396903819,17.80045445,20.9854776,0.0858,Uncertain,Uncertain,Moderate,Low,Trends & Range Size,Migratory-Long-Distance
14,Northern Pintail,Anas acuta,Least Concern,Schedule-IV,X,X,-55.81633167,52.99360187,-5.001384023,18.75879961,99.1353023,0.0944,Uncertain,Uncertain,Large,Low,Trends & Range Size,Migratory-Long-Distance
15,Common Teal,Anas crecca,Least Concern,Schedule-IV,X,X,-40.39827925,37.76760026,3.939791178,12.27310964,83.0525058,0.0885,Uncertain,Uncertain,Large,Low,Trends & Range Size,Migratory-Long-Distance
16,Andaman Teal,Anas albogularis,Vulnerable,Schedule-I,,,NA,NA,NA,NA,0.3523681,0.0315,Data Deficient,Data Deficient,Restricted,High,Range Size & IUCN Status,Resident
17,White-winged Wood Duck,Asarcornis scutulata,Endangered,Schedule-I,,,NA,NA,NA,NA,1.6555414,0.0913,Data Deficient,Data Deficient,Restricted,High,Range Size & IUCN Status,Resident
18,Red-crested Pochard,Netta rufina,Least Concern,Schedule-IV,X,X,-22.17036303,35.10169302,0.690349914,8.082001952,34.4392361,0.0751,Uncertain,Uncertain,Large,Low,Trends & Range Size,Migratory-Long-Distance
19,Common Pochard,Aythya ferina,Vulnerable,Schedule-IV,X,X,-62.9743729,19.33168063,-2.838886152,8.528236833,56.7869682,0.0815,Moderate Decline,Uncertain,Large,Moderate,Trends & Range Size,Migratory-Long-Distance
20,Ferruginous Duck,Aythya nyroca,Near Threatened,Schedule-IV,X,X,-19.25607325,41.87710784,32.96887622,18.96233947,26.7874838,0.0924,Uncertain,Strong Increase,Large,Low,Trends & Range Size,Migratory-Long-Distance
21,Tufted Duck,Aythya fuligula,Least Concern,Schedule-IV,X,X,-68.36390607,56.45748087,-4.293357606,28.20570327,38.0511654,0.0859,Uncertain,Uncertain,Large,Low,Trends & Range Size,Migratory-Long-Distance
22,Common Merganser,Mergus merganser,Least Concern,Schedule-IV,,X,NA,NA,-6.314109972,25.43057531,4.6653801,0.1056,Data Deficient,Uncertain,Moderate,Low,Trends & Range Size,Migratory-Local
23,Nicobar Megapode,Megapodius nicobariensis,Vulnerable,Schedule-I,,,NA,NA,NA,NA,0.0769,0,Data Deficient,Data Deficient,Restricted,High,Range Size & IUCN Status,Resident
24,Common Hill Partridge,Arborophila torqueola,Least Concern,Schedule-IV,,X,NA,NA,-9.340759913,8.42867865,10.1969039,0.0627,Data Deficient,Uncertain,Moderate,Low,Trends & Range Size,Resident
25,Chestnut-breasted Hill Partridge,Arborophila mandellii,Vulnerable,Schedule-IV,,,NA,NA,NA,NA,1.3832743,0.0689,Data Deficient,Data Deficient,Restricted,High,Range Size & IUCN Status,Resident
26,Rufous-throated Hill Partridge,Arborophila rufogularis,Least Concern,Schedule-IV,,,NA,NA,NA,NA,6.3406383,0.1149,Data Deficient,Data Deficient,Moderate,Moderate,Trends & Range Size,Resident
27,White-cheeked Hill Partridge,Arborophila atrogularis,Near Threatened,Schedule-IV,,,NA,NA,NA,NA,3.4224822,0.0745,Data Deficient,Data Deficient,Restricted,Moderate,Trends & Range Size,Resident
28,Indian Peafowl,Pavo cristatus,Least Concern,Schedule-I,X,X,101.8389785,37.45897647,4.871712392,3.557322358,152.4265574,0.0743,Strong Increase,Moderate Increase,Very Large,Low,Trends & Range Size,Resident
29,Red Spurfowl,Galloperdix spadicea,Least Concern,Schedule-IV,X,X,-34.51953367,20.63088279,-3.126040427,4.883762442,36.3436371,0.0672,Stable,Uncertain,Large,Low,Trends & Range Size,Resident
30,Painted Spurfowl,Galloperdix lunulata,Least Concern,Schedule-IV,X,X,-33.30049102,35.73894994,-8.903820048,6.831268099,20.7805972,0.0719,Uncertain,Moderate Decline,Moderate,Moderate,Trends & Range Size,Resident
31,Rain Quail,Coturnix coromandelica,Least Concern,Schedule-IV,X,X,-66.56176947,16.32191523,33.33069824,19.60986484,38.1848021,0.0977,Strong Decline,Strong Increase,Large,Moderate,Trends & Range Size,Resident
32,Chukar Partridge,Alectoris chukar,Least Concern,Schedule-IV,,X,NA,NA,1.917010849,18.49919171,12.6504688,0.0702,Data Deficient,Uncertain,Moderate,Low,Trends & Range Size,Resident
33,Himalayan Snowcock,Tetraogallus himalayensis,Least Concern,Schedule-IV,,,NA,NA,NA,NA,5.3742507,0.0942,Data Deficient,Data Deficient,Moderate,Moderate,Trends & Range Size,Resident
34,Jungle Bush Quail,Perdicula asiatica,Least Concern,Schedule-IV,X,X,-53.48825391,13.820081,-5.935305112,4.206338195,76.3501871,0.1181,Moderate Decline,Moderate Decline,Large,Moderate,Trends & Range Size,Resident
35,Rock Bush Quail,Perdicula argoondah,Least Concern,Schedule-IV,,X,NA,NA,-7.472880225,7.52903849,26.288686,0.0995,Data Deficient,Uncertain,Large,Low,Trends & Range Size,Resident
36,Painted Bush Quail,Perdicula erythrorhyncha,Least Concern,Schedule-IV,,,NA,NA,NA,NA,4.0299632,0.048,Data Deficient,Data Deficient,Restricted,Moderate,Trends & Range Size,Resident
37,Manipur Bush Quail,Perdicula manipurensis,Endangered,Schedule-IV,,,NA,NA,NA,NA,NA,NA,Data Deficient,Data Deficient,Data Deficient,High,Lack of data,Resident
38,Himalayan Quail,Ophrysia superciliosa,Critically Endangered,Schedule-I,,,NA,NA,NA,NA,NA,NA,Data Deficient,Data Deficient,Data Deficient,High,Lack of data,Resident
39,Black Francolin,Francolinus francolinus,Least Concern,Schedule-IV,X,X,-33.7553836,28.38318131,0.058770379,7.849381662,35.4794869,0.0888,Uncertain,Uncertain,Large,Low,Trends & Range Size,Resident
40,Painted Francolin,Francolinus pictus,Least Concern,Schedule-IV,,X,NA,NA,2.635999335,9.237209365,40.2477368,0.1012,Data Deficient,Uncertain,Large,Low,Trends & Range Size,Resident
41,Grey Francolin,Francolinus pondicerianus,Least Concern,Schedule-IV,X,X,5.400299688,19.23573223,2.439642514,3.504586328,154.9081101,0.0727,Stable,Uncertain,Very Large,Low,Trends & Range Size,Resident
42,Swamp Francolin,Francolinus gularis,Vulnerable,Schedule-IV,,,NA,NA,NA,NA,3.3878056,0.0871,Data Deficient,Data Deficient,Restricted,High,Range Size & IUCN Status,Resident
43,Mountain Bamboo Partridge,Bambusicola fytchii,Least Concern,Schedule-I,,,NA,NA,NA,NA,3.1075897,0.0735,Data Deficient,Data Deficient,Restricted,Moderate,Trends & Range Size,Resident
44,Red Junglefowl,Gallus gallus,Least Concern,Schedule-IV,X,X,-16.36415242,29.12194434,2.309657711,6.414148188,37.5486149,0.0678,Uncertain,Uncertain,Large,Low,Trends & Range Size,Resident
45,Grey Junglefowl,Gallus sonneratii,Least Concern,Schedule-IV,X,X,-30.62848032,25.89262804,-4.900933205,5.484785466,33.8482206,0.0426,Uncertain,Uncertain,Large,Low,Trends & Range Size,Resident
46,Blood Pheasant,Ithaginis cruentus,Least Concern,Schedule-I,,,NA,NA,NA,NA,1.1155538,0.0503,Data Deficient,Data Deficient,Restricted,Moderate,Trends & Range Size,Resident
47,Himalayan Monal,Lophophorus impejanus,Least Concern,Schedule-I,,X,NA,NA,6.598082481,28.70816331,7.6153711,0.0548,Data Deficient,Uncertain,Moderate,Low,Trends & Range Size,Resident
48,Sclater's Monal,Lophophorus sclateri,Vulnerable,Schedule-I,,,NA,NA,NA,NA,0.125,0,Data Deficient,Data Deficient,Very Restricted,High,Range Size,Resident
49,Snow Partridge,Lerwa lerwa,Least Concern,Schedule-IV,,,NA,NA,NA,NA,2.8632239,0.0767,Data Deficient,Data Deficient,Restricted,Moderate,Trends & Range Size,Resident
50,Western Tragopan,Tragopan melanocephalus,Vulnerable,Schedule-I,,,NA,NA,NA,NA,0.3125,0,Data Deficient,Data Deficient,Very Restricted,High,Range Size,Resident
51,Satyr Tragopan,Tragopan satyra,Near Threatened,Schedule-I,,,NA,NA,NA,NA,1.6482481,0.0864,Data Deficient,Data Deficient,Restricted,Moderate,Trends & Range Size,Resident
52,Blyth's Tragopan,Tragopan blythii,Vulnerable,Schedule-I,,,NA,NA,NA,NA,1.214276,0.0824,Data Deficient,Data Deficient,Restricted,High,Range Size & IUCN Status,Resident
53,Cheer Pheasant,Catreus wallichii,Vulnerable,Schedule-I,,,NA,NA,NA,NA,2.7876262,0.0741,Data Deficient,Data Deficient,Restricted,High,Range Size & IUCN Status,Resident
54,Kalij Pheasant,Lophura leucomelanos,Least Concern,Schedule-I,X,X,45.68997916,67.66912593,2.369533744,8.845250761,18.6347312,0.0633,Uncertain,Uncertain,Moderate,Low,Trends & Range Size,Resident
55,Koklass Pheasant,Pucrasia macrolopha,Least Concern,Schedule-IV,,,NA,NA,NA,NA,6.8721133,0.0725,Data Deficient,Data Deficient,Moderate,Moderate,Trends & Range Size,Resident
56,Greater Flamingo,Phoenicopterus roseus,Least Concern,Schedule-IV,X,X,53.96681644,72.43178077,-2.994858251,8.542224749,8.521447,0.0626,Uncertain,Uncertain,Moderate,Low,Trends & Range Size,Resident
57,Lesser Flamingo,Phoeniconaias minor,Near Threatened,Schedule-IV,,X,NA,NA,-2.229507556,19.75332545,2.2280254,0.0822,Data Deficient,Uncertain,Restricted,Moderate,Trends & Range Size,Resident
58,Little Grebe,Tachybaptus ruficollis,Least Concern,Schedule-IV,X,X,-15.38719324,14.54067571,-7.347690277,2.203448062,164.0592996,0.0969,Stable,Strong Decline,Very Large,Low,Trends & Range Size,Resident
59,Great Crested Grebe,Podiceps cristatus,Least Concern,Schedule-IV,X,X,-59.12065219,49.04832431,5.297641547,25.78670738,14.6196277,0.0641,Uncertain,Uncertain,Moderate,Low,Trends & Range Size,Resident
60,Rock Pigeon,Columba livia,Least Concern,Schedule-IV,X,X,143.9681557,27.01840809,8.675199218,2.131361113,222.6533985,0.076,Strong Increase,Strong Increase,Very Large,Low,Trends & Range Size,Resident
61,Hill Pigeon,Columba rupestris,Least Concern,Schedule-IV,,X,NA,NA,7.906699008,23.07015522,12.6963159,0.0505,Data Deficient,Uncertain,Moderate,Low,Trends & Range Size,Resident
62,Snow Pigeon,Columba leuconota,Least Concern,Schedule-IV,,X,NA,NA,10.14631804,24.33911365,13.7391562,0.0753,Data Deficient,Uncertain,Moderate,Low,Trends & Range Size,Resident
63,Yellow-eyed Pigeon,Columba eversmanni,Vulnerable,Schedule-IV,,,NA,NA,NA,NA,0.6734923,0.0988,Data Deficient,Data Deficient,Restricted,High,Range Size & IUCN Status,Migratory-Long-Distance
64,Speckled Wood Pigeon,Columba hodgsonii,Least Concern,Schedule-IV,,X,NA,NA,-12.72092975,26.1225774,7.5948535,0.0732,Data Deficient,Uncertain,Moderate,Low,Trends & Range Size,Resident
65,Ashy Wood Pigeon,Columba pulchricollis,Least Concern,Schedule-IV,,,NA,NA,NA,NA,2.1100197,0.0769,Data Deficient,Data Deficient,Restricted,Moderate,Trends & Range Size,Resident
66,Nilgiri Wood Pigeon,Columba elphinstonii,Vulnerable,Schedule-IV,X,X,-28.55191043,42.45681185,10.63496428,13.91251874,10.9435872,0.0492,Uncertain,Uncertain,Moderate,Moderate,Trends & Range Size,Resident
67,Pale-capped Pigeon,Columba punicea,Vulnerable,Schedule-IV,,,NA,NA,NA,NA,1.8712368,0.0673,Data Deficient,Data Deficient,Restricted,High,Range Size & IUCN Status,Resident
68,Andaman Wood Pigeon,Columba palumboides,Near Threatened,Schedule-IV,,,NA,NA,NA,NA,0.4942783,0.0627,Data Deficient,Data Deficient,Restricted,Moderate,Trends & Range Size,Resident
69,Oriental Turtle Dove,Streptopelia orientalis,Least Concern,Schedule-IV,X,X,-26.19400722,24.25526009,1.6027475,6.151821276,23.2414483,0.0577,Stable,Uncertain,Moderate,Low,Trends & Range Size,Resident
70,Eurasian Collared Dove,Streptopelia decaocto,Least Concern,Schedule-IV,X,X,-6.987613329,16.14644418,2.74143269,3.23399411,188.1202716,0.0752,Stable,Uncertain,Very Large,Low,Trends & Range Size,Resident
71,Red Collared Dove,Streptopelia tranquebarica,Least Concern,Schedule-IV,X,X,-54.33117243,11.08859897,-3.660840581,3.819621352,122.0231965,0.102,Moderate Decline,Uncertain,Very Large,Moderate,Trends & Range Size,Resident
72,Spotted Dove,Streptopelia chinensis,Least Concern,Schedule-IV,X,X,17.16874474,15.22528549,-2.085838872,1.988433563,200.6743278,0.0769,Stable,Stable,Very Large,Low,Trends & Range Size,Resident
73,Laughing Dove,Streptopelia senegalensis,Least Concern,Schedule-IV,X,X,8.498243531,18.69151132,-1.270795273,2.904130447,181.2654337,0.0622,Stable,Uncertain,Very Large,Low,Trends & Range Size,Resident
74,Barred Cuckoo Dove,Macropygia unchall,Least Concern,Schedule-IV,,X,NA,NA,4.59796184,79.21033728,7.3495345,0.0927,Data Deficient,Uncertain,Moderate,Low,Trends & Range Size,Resident
75,Andaman Cuckoo Dove,Macropygia rufipennis,Least Concern,Schedule-IV,,,NA,NA,NA,NA,0.6066314,0.0045,Data Deficient,Data Deficient,Restricted,Moderate,Trends & Range Size,Resident
76,Asian Emerald Dove,Chalcophaps indica,Least Concern,Schedule-IV,X,X,-27.48050935,22.72046814,-0.046356189,5.386903992,48.3987975,0.0666,Stable,Uncertain,Large,Low,Trends & Range Size,Resident
77,Orange-breasted Green Pigeon,Treron bicinctus,Least Concern,Schedule-IV,,X,NA,NA,-8.128651314,9.584735876,21.2435486,0.091,Data Deficient,Uncertain,Moderate,Low,Trends & Range Size,Resident
78,Grey-fronted Green Pigeon,Treron affinis,Least Concern,Schedule-IV,X,X,-50.77077559,28.17481513,-5.874891634,8.639125326,14.3417337,0.0364,Uncertain,Uncertain,Moderate,Low,Trends & Range Size,Resident
79,Andaman Green Pigeon,Treron chloropterus,Near Threatened,Schedule-IV,,X,NA,NA,-10.80852135,6.671923317,0.6241585,0.026,Data Deficient,Strong Decline,Restricted,High,Trends,Resident
80,Yellow-legged Green Pigeon,Treron phoenicopterus,Least Concern,Schedule-IV,X,X,74.66470985,41.49256174,2.331911583,4.093516921,129.0298234,0.0907,Moderate Increase,Uncertain,Very Large,Low,Trends & Range Size,Resident
81,Pin-tailed Green Pigeon,Treron apicauda,Least Concern,Schedule-IV,,X,NA,NA,-1.101542182,41.97154912,8.2404477,0.0617,Data Deficient,Uncertain,Moderate,Low,Trends & Range Size,Resident
82,Wedge-tailed Green Pigeon,Treron sphenurus,Least Concern,Schedule-IV,,X,NA,NA,3.826539854,13.18824926,16.5027977,0.0801,Data Deficient,Uncertain,Moderate,Low,Trends & Range Size,Resident
83,Green Imperial-Pigeon,Ducula aenea,Least Concern,Schedule-IV,X,X,4.059892703,51.05514897,-7.664258235,6.761703659,23.6102682,0.0494,Uncertain,Uncertain,Moderate,Low,Trends & Range Size,Resident
84,Nicobar Imperial-Pigeon,Ducula nicobarica,Least Concern,Schedule-IV,,,NA,NA,NA,NA,0.1149693,0.0148,Data Deficient,Data Deficient,Restricted,Moderate,Trends & Range Size,Resident
85,Mountain Imperial Pigeon,Ducula badia,Least Concern,Schedule-IV,X,X,-73.06526888,10.21542992,4.027019187,7.694353387,17.1185242,0.048,Strong Decline,Uncertain,Moderate,Moderate,Trends & Range Size,Resident
86,Tibetan Sandgrouse,Syrrhaptes tibetanus,Least Concern,Schedule-IV,,,NA,NA,NA,NA,2.6447048,0.1385,Data Deficient,Data Deficient,Restricted,Moderate,Trends & Range Size,Resident
87,Chestnut-bellied Sandgrouse,Pterocles exustus,Least Concern,Schedule-IV,X,X,-53.12742383,18.41535111,0.496267622,7.572007344,41.7443954,0.0765,Moderate Decline,Uncertain,Large,Moderate,Trends & Range Size,Resident
88,Painted Sandgrouse,Pterocles indicus,Least Concern,Schedule-IV,,X,NA,NA,-5.542543432,10.87771296,17.2204302,0.0881,Data Deficient,Uncertain,Moderate,Low,Trends & Range Size,Resident
89,Great Indian Bustard,Ardeotis nigriceps,Critically Endangered,Schedule-I,,,NA,NA,NA,NA,2.3148767,0.1163,Data Deficient,Data Deficient,Restricted,High,Range Size & IUCN Status,Resident
90,Bengal Florican,Houbaropsis bengalensis,Critically Endangered,Schedule-I,,,NA,NA,NA,NA,1.8381793,0.0691,Data Deficient,Data Deficient,Restricted,High,Range Size & IUCN Status,Resident
91,Lesser Florican,Sypheotides indicus,Endangered,Schedule-I,,,NA,NA,NA,NA,3.0278956,0.063,Data Deficient,Data Deficient,Restricted,High,Range Size & IUCN Status,Resident
92,Andaman Coucal,Centropus andamanensis,Least Concern,Schedule-IV,,X,NA,NA,-1.771721834,4.685872245,0.5078349,0.0219,Data Deficient,Uncertain,Restricted,Moderate,Trends & Range Size,Resident
93,Greater Coucal,Centropus sinensis,Least Concern,Schedule-IV,X,X,40.07506372,15.71841743,3.842442152,2.047797703,193.4335541,0.077,Stable,Strong Increase,Very Large,Low,Trends & Range Size,Resident
94,Lesser Coucal,Centropus bengalensis,Least Concern,Schedule-IV,,X,NA,NA,16.40590228,19.78320129,20.8433026,0.0688,Data Deficient,Uncertain,Moderate,Low,Trends & Range Size,Resident
95,Sirkeer Malkoha,Taccocua leschenaultii,Least Concern,Schedule-IV,X,X,-70.92759378,9.386550168,-5.072348205,4.710563278,58.1832574,0.1157,Strong Decline,Uncertain,Large,Moderate,Trends & Range Size,Resident
96,Blue-faced Malkoha,Phaenicophaeus viridirostris,Least Concern,Schedule-IV,X,X,-11.9525409,31.7035142,-4.772564119,5.173263075,45.9158591,0.0638,Uncertain,Uncertain,Large,Low,Trends & Range Size,Resident
97,Green-billed Malkoha,Phaenicophaeus tristis,Least Concern,Schedule-IV,X,X,24.32694829,71.69390171,4.507549263,11.96451364,20.9831856,0.0756,Uncertain,Uncertain,Moderate,Low,Trends & Range Size,Resident
98,Pied Cuckoo,Clamator jacobinus,Least Concern,Schedule-IV,X,X,-39.22961137,15.35572441,-2.224564543,4.034249144,67.9685595,0.1028,Stable,Uncertain,Large,Low,Trends & Range Size,Resident
99,Asian Koel,Eudynamys scolopaceus,Least Concern,Schedule-IV,X,X,59.44938911,19.62903049,5.351202332,2.303397302,186.1961492,0.0786,Moderate Increase,Strong Increase,Very Large,Low,Trends & Range Size,Resident
100,Banded Bay Cuckoo,Cacomantis sonneratii,Least Concern,Schedule-IV,X,X,-59.50815228,16.23852325,8.709995512,9.049264429,30.3636128,0.0932,Moderate Decline,Uncertain,Large,Moderate,Trends & Range Size,Resident
101,Plaintive Cuckoo,Cacomantis merulinus,Least Concern,Schedule-IV,,X,NA,NA,-11.69630989,13.2901283,2.8650172,0.0834,Data Deficient,Uncertain,Restricted,Moderate,Trends & Range Size,Resident
102,Grey-bellied Cuckoo,Cacomantis passerinus,Least Concern,Schedule-IV,X,X,-12.79359933,26.08273421,3.672918435,5.74051496,88.9977786,0.1515,Uncertain,Uncertain,Large,Low,Trends & Range Size,Resident
103,Fork-tailed Drongo Cuckoo,Surniculus dicruroides,Least Concern,Schedule-IV,,X,NA,NA,-5.539844683,16.88362185,5.0003648,0.0842,Data Deficient,Uncertain,Moderate,Low,Trends & Range Size,Resident
104,Square-tailed Drongo Cuckoo,Surniculus lugubris,Least Concern,Schedule-IV,,X,NA,NA,1.509636706,30.15778154,7.3234996,0.1234,Data Deficient,Uncertain,Moderate,Low,Trends & Range Size,Migratory-Long-Distance
105,Large Hawk Cuckoo,Hierococcyx sparverioides,Least Concern,Schedule-IV,X,X,-42.61104656,60.72994695,-3.080037978,16.32324657,6.6808378,0.0939,Uncertain,Uncertain,Moderate,Low,Trends & Range Size,Resident
106,Common Hawk Cuckoo,Hierococcyx varius,Least Concern,Schedule-IV,X,X,-36.28824685,10.23995078,-3.390163204,2.465088921,159.3568466,0.1143,Moderate Decline,Uncertain,Very Large,Moderate,Trends & Range Size,Resident
107,Lesser Cuckoo,Cuculus poliocephalus,Least Concern,Schedule-IV,,X,NA,NA,-17.9638933,12.02983291,7.13088,0.1348,Data Deficient,Strong Decline,Moderate,Moderate,Trends & Range Size,Migratory-Local
108,Indian Cuckoo,Cuculus micropterus,Least Concern,Schedule-IV,X,X,-56.77903707,21.81769905,-10.15563347,6.182120599,27.5698472,0.067,Moderate Decline,Strong Decline,Large,Moderate,Trends & Range Size,Resident
109,Himalayan Cuckoo,Cuculus saturatus,Least Concern,Schedule-IV,,X,NA,NA,-9.057814296,7.264461964,7.5513054,0.0587,Data Deficient,Moderate Decline,Moderate,Moderate,Trends & Range Size,Migratory-Local
110,Common Cuckoo,Cuculus canorus,Least Concern,Schedule-IV,X,X,-63.78587332,16.72214051,-8.626514072,5.942571717,37.3311309,0.0789,Moderate Decline,Moderate Decline,Large,Moderate,Trends & Range Size,Migratory-Local
111,White-rumped Spinetail,Zoonavena sylvatica,Least Concern,Schedule-IV,X,X,-76.5324056,11.24136429,-6.188194956,6.712704169,23.4585118,0.0725,Strong Decline,Uncertain,Moderate,Moderate,Trends & Range Size,Resident
112,Brown-backed Needletail,Hirundapus giganteus,Least Concern,Schedule-IV,X,X,-64.71277344,26.54512531,-10.70119918,8.759594994,14.0272249,0.0517,Moderate Decline,Moderate Decline,Moderate,Moderate,Trends & Range Size,Resident
113,Glossy Swiftlet,Collocalia esculenta,Least Concern,Schedule-IV,,X,NA,NA,-3.440960086,4.09763909,0.6150562,0.0032,Data Deficient,Uncertain,Very Restricted,High,Range Size,Resident
114,Indian Swiftlet,Aerodramus unicolor,Least Concern,Schedule-I,X,X,-24.61004036,45.17219007,-3.229720841,8.801444141,12.0546419,0.0326,Uncertain,Uncertain,Moderate,Low,Trends & Range Size,Resident
115,Himalayan Swiftlet,Aerodramus brevirostris,Least Concern,Schedule-IV,X,X,-77.52145134,14.02311279,-8.817329114,8.671488289,19.5119691,0.1974,Strong Decline,Uncertain,Moderate,Moderate,Trends & Range Size,Resident
116,Alpine Swift,Tachymarptis melba,Least Concern,Schedule-IV,X,X,-45.70556014,21.17921881,1.096719775,7.202856385,14.9386648,0.1017,Stable,Uncertain,Moderate,Low,Trends & Range Size,Resident
117,Blyth's Swift,Apus leuconyx,Least Concern,Schedule-IV,,,NA,NA,NA,NA,1.2359222,0.0941,Data Deficient,Data Deficient,Restricted,Moderate,Trends & Range Size,Migratory-Local
118,Dark-rumped Swift,Apus acuticauda,Vulnerable,Schedule-IV,,,NA,NA,NA,NA,2.4099894,0.1287,Data Deficient,Data Deficient,Restricted,High,Range Size & IUCN Status,Resident
119,Indian House Swift,Apus affinis,Least Concern,Schedule-IV,X,X,-45.24231816,8.3424056,6.187451223,3.179564718,178.6575289,0.1216,Moderate Decline,Strong Increase,Very Large,Low,Trends & Range Size,Resident
120,Asian Palm Swift,Cypsiurus balasiensis,Least Concern,Schedule-IV,X,X,-18.33932933,18.63554757,2.871466204,4.322413252,117.1414779,0.0756,Stable,Uncertain,Very Large,Low,Trends & Range Size,Resident
121,Crested Treeswift,Hemiprocne coronata,Least Concern,Schedule-IV,X,X,-75.31941272,7.45282467,-9.359277819,3.794494455,56.6357344,0.0832,Strong Decline,Strong Decline,Large,High,Trends,Resident
122,Slaty-breasted Rail,Lewinia striata,Least Concern,Schedule-IV,,X,NA,NA,-6.366453763,10.93415039,16.0046798,0.0905,Data Deficient,Uncertain,Moderate,Low,Trends & Range Size,Resident
123,Common Moorhen,Gallinula chloropus,Least Concern,Schedule-IV,X,X,41.43843061,31.12719469,-0.358483044,3.732878581,35.2492226,0.0812,Uncertain,Uncertain,Large,Low,Trends & Range Size,Resident
124,Common Coot,Fulica atra,Least Concern,Schedule-IV,X,X,12.61875931,21.70424175,-6.621203106,2.403853538,37.125156,0.0769,Stable,Strong Decline,Large,Moderate,Trends & Range Size,Resident
125,Purple Swamphen,Porphyrio porphyrio,Least Concern,Schedule-IV,X,X,35.24743011,27.97323976,-10.74145948,2.244343965,114.368831,0.0841,Uncertain,Strong Decline,Very Large,Moderate,Trends & Range Size,Resident
126,Watercock,Gallicrex cinerea,Least Concern,Schedule-IV,,X,NA,NA,-12.32233803,7.713744485,14.1876531,0.0649,Data Deficient,Strong Decline,Moderate,Moderate,Trends & Range Size,Resident
127,White-breasted Waterhen,Amaurornis phoenicurus,Least Concern,Schedule-IV,X,X,37.14136011,19.7586583,-0.884513671,2.286521831,174.2962463,0.0968,Stable,Uncertain,Very Large,Low,Trends & Range Size,Resident
128,Andaman Crake,Rallina canningi,Least Concern,Schedule-IV,,,NA,NA,NA,NA,0.4867197,0.0389,Data Deficient,Data Deficient,Restricted,Moderate,Trends & Range Size,Resident
129,Slaty-legged Crake,Rallina eurizonoides,Least Concern,Schedule-IV,,,NA,NA,NA,NA,8.2744617,0.1157,Data Deficient,Data Deficient,Moderate,Moderate,Trends & Range Size,Resident
130,Ruddy-breasted Crake,Zapornia fusca,Least Concern,Schedule-IV,,X,NA,NA,1.640884557,8.58711359,35.7618739,0.099,Data Deficient,Uncertain,Large,Low,Trends & Range Size,Resident
